site_spp_slug,site_slug,commonName,scientificName,spp_slug,spring,summer,fall,winter,season
rachel-carson-reserve-limnodromus-griseus,rachel-carson-reserve,Short-billed Dowitcher,Limnodromus griseus,limnodromus-griseus,5,5,5,5,5555
rachel-carson-reserve-limnodromus-scolopaceus,rachel-carson-reserve,Long-billed Dowitcher,Limnodromus scolopaceus,limnodromus-scolopaceus,0,0,1,1,0011
rachel-carson-reserve-gallinago-delicata,rachel-carson-reserve,Wilson's Snipe,Gallinago delicata,gallinago-delicata,2,0,2,2,2022
rachel-carson-reserve-scolopax-minor,rachel-carson-reserve,American Woodcock,Scolopax minor,scolopax-minor,0,0,2,2,0022
rachel-carson-reserve-phalaropus-lobatus,rachel-carson-reserve,Red-necked Phalarope,Phalaropus lobatus,phalaropus-lobatus,1,1,0,0,1100
rachel-carson-reserve-stercorarius-pomarinus,rachel-carson-reserve,Pomarine Jaeger,Stercorarius pomarinus,stercorarius-pomarinus,1,0,1,0,1010
rachel-carson-reserve-stercorarius-parasiticus,rachel-carson-reserve,Parasitic Jaeger,Stercorarius parasiticus,stercorarius-parasiticus,1,0,1,0,1010
rachel-carson-reserve-larus-atricilla,rachel-carson-reserve,Laughing Gull,Larus atricilla,larus-atricilla,5,5,5,3,5553
rachel-carson-reserve-larus-philadelphia,rachel-carson-reserve,Bonaparte's Gull,Larus philadelphia,larus-philadelphia,4,0,2,4,4024
rachel-carson-reserve-agelaius-phoeniceus,rachel-carson-reserve,Red-winged Blackbird,Agelaius phoeniceus,agelaius-phoeniceus,5,4,5,5,5455
rachel-carson-reserve-larus-argentatus,rachel-carson-reserve,Herring Gull,Larus argentatus,larus-argentatus,5,4,5,5,5455
rachel-carson-reserve-larus-glaucoides,rachel-carson-reserve,Iceland Gull,Larus glaucoides,larus-glaucoides,0,0,0,1,0001
rachel-carson-reserve-larus-fuscus,rachel-carson-reserve,Lesser Black-backed Gull,Larus fuscus,larus-fuscus,2,0,3,3,2033
rachel-carson-reserve-larus-hyperboreus,rachel-carson-reserve,Glaucous Gull,Larus hyperboreus,larus-hyperboreus,0,0,0,1,0001
rachel-carson-reserve-larus-marinus,rachel-carson-reserve,Great Black-backed Gull,Larus marinus,larus-marinus,5,4,5,5,5455
rachel-carson-reserve-gelochelidon-nilotica,rachel-carson-reserve,Gull-billed Tern,Gelochelidon nilotica,gelochelidon-nilotica,3,3,2,0,3320
rachel-carson-reserve-hydroprogne-caspia,rachel-carson-reserve,Caspian Tern,Hydroprogne caspia,hydroprogne-caspia,1,3,4,0,1340
rachel-carson-reserve-thalasseus-maximus,rachel-carson-reserve,Royal Tern,Thalasseus maximus,thalasseus-maximus,5,5,5,3,5553
rachel-carson-reserve-thalasseus-sandvicensis,rachel-carson-reserve,Sandwich Tern,Thalasseus sandvicensis,thalasseus-sandvicensis,5,5,5,0,5550
